Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
reclutado_id,Main,,text,Reclutado ID,,,,,,y,,y,,,,,
patient_id,Main,,text,Patient ID,,,integer,,,,,,,,,,
mtb,Dbo 05 massas,,text,mTB,,,number,,,,,,,,,,
dbo_04_kinetic_grf_sample,Dbo 04 kinetic grf,,text,Sample,,,integer,0,100,,,,,,,,
dbo_04_kinetic_grf_frgrve_m,Dbo 04 kinetic grf,,text,fRGRVE.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frgrve_s,Dbo 04 kinetic grf,,text,fRGRVE.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrve_m,Dbo 04 kinetic grf,,text,fLGRVE.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrve_s,Dbo 04 kinetic grf,,text,fLGRVE.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frgrap_m,Dbo 04 kinetic grf,,text,fRGRAP.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frgrap_s,Dbo 04 kinetic grf,,text,fRGRAP.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrap_m,Dbo 04 kinetic grf,,text,fLGRAP.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrap_s,Dbo 04 kinetic grf,,text,fLGRAP.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frgrml_m,Dbo 04 kinetic grf,,text,fRGRML.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frgrml_s,Dbo 04 kinetic grf,,text,fRGRML.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrml_m,Dbo 04 kinetic grf,,text,fLGRML.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flgrml_s,Dbo 04 kinetic grf,,text,fLGRML.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flafe_m,Dbo 04 kinetic grf,,text,fLAFE.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flafe_s,Dbo 04 kinetic grf,,text,fLAFE.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frkfe_m,Dbo 04 kinetic grf,,text,fRKFE.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_frkfe_s,Dbo 04 kinetic grf,,text,fRKFE.S,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flkfe_m,Dbo 04 kinetic grf,,text,fLKFE.M,,,number,,,,,,,,,,
dbo_04_kinetic_grf_flkfe_s,Dbo 04 kinetic grf,,text,fLKFE.S,,,number,,,,,,,,,,
